id,title,proteins,fats,carbohydrates,calories
1,Американский картофельный салат,3.1,4.6,10.4,93.8
2,Винегрет с квашеной капустой,2.2,3.9,8.9,78.5
3,Витаминный салат с морковью,1.2,2.4,7.9,58.4
4,Банановые оладьи,4.5,3.8,30.0,176.0
5,Печёные яблоки с творогом,3.3,2.6,13.7,93.9
6,Пирожное Картошка из свеклы,11.7,8.9,44.3,299.1
7,Котлеты из творога и овощей,7.4,0.3,3.2,42.8
8,Спагетти с маслинами,7.2,4.3,43.4,256.6
9,Рисовая молочная каша,3.5,6.1,18.5,143.5
10,Куриная грудка в соевом соусе,18.2,1.4,11.4,130.7
